User-ID,Name,Gender,Technology,Politics,Food,Education,Media,Travel,Medicine,Type
1,Demetri Josse,Male,0,0,1,0,1,1,0,0
2,Jobina Adair,Female,0,1,1,0,1,1,0,0
3,Brody Marquess,Male,0,0,0,1,0,1,1,2
4,Forest Elvins,Male,1,1,0,1,0,0,0,3
5,Carmelina O'Hear,Female,0,1,1,0,1,0,1,4
6,Maryanne Greber,Female,0,0,1,0,1,1,1,5
7,Gloria Roobottom,Female,0,1,1,0,1,1,0,6
8,Fifi Witherup,Female,0,1,1,0,1,1,0,6
9,Michel Galfour,Male,0,0,0,1,0,1,1,2
10,Finley Beasleigh,Male,1,0,0,1,0,1,0,1
11,Sheba Rowledge,Female,0,0,1,0,1,1,0,0
12,Odelia MacRedmond,Female,0,0,0,1,0,1,1,2
13,Vivian Scallon,Female,1,1,1,0,1,0,1,4
14,Martyn Commings,Male,0,0,1,0,1,1,0,5
15,Shannah Southerton,Female,0,0,1,0,1,1,0,0
16,Chet McGilvray,Male,0,1,0,1,0,0,1,3
17,Tracee Fuggles,Female,1,1,0,1,0,0,0,3
18,Jeralee Zanini,Female,1,0,0,1,0,1,0,1
19,Vivienne Abyss,Female,0,0,0,1,0,1,1,2
20,Brig Cullity,Male,0,0,0,1,1,1,1,2
21,Johnathan Zavattari,Male,1,0,0,1,0,1,0,1
22,Rodge Shobbrook,Male,0,1,1,0,1,0,1,4
23,Annecorinne Claiton,Female,0,0,1,0,1,1,0,5
24,Gray Catanheira,Male,0,0,1,0,1,1,0,5
25,Tab Mariel,Male,1,0,0,1,0,1,0,1
26,Berenice Drohan,Female,0,1,0,1,0,0,1,3
27,Bettina Chaney,Female,0,1,0,1,0,0,1,3
28,Carmelia Baudesson,Female,0,0,1,1,1,1,0,0
29,Johan Bontine,Male,0,1,1,0,1,1,0,6
30,Clair Jenteau,Female,0,1,1,0,1,0,1,4
31,Elena Battin,Female,0,0,1,0,1,1,0,5
32,Shae Kettleson,Male,1,1,0,1,0,1,0,1
33,Dicky Bolan,Male,1,1,0,1,0,0,0,3
34,Kalina Dockwra,Female,1,0,1,0,1,1,0,5
35,Mara Fronek,Female,1,1,0,1,0,0,0,3
36,Patrizius Blaxland,Male,1,0,0,1,0,1,0,1
37,Shelley Freiberg,Male,0,0,1,0,1,1,0,5
38,Linet Durant,Female,0,0,1,1,1,1,0,5
39,Cob Lysons,Male,0,1,1,0,1,1,0,5
40,Bren Hartburn,Female,0,0,0,1,0,1,1,2
41,Chloris Stuer,Female,0,1,1,1,1,0,1,4
42,Vanya Bottomore,Male,0,1,1,0,1,0,1,4
43,Sammy Broy,Male,0,0,0,1,0,1,1,2
44,Stevie Wiszniewski,Male,0,1,1,0,1,1,0,6
45,Leonelle Matteoli,Female,0,0,1,0,1,1,0,0
46,Meredithe Van der Veldt,Female,1,0,0,1,1,1,0,1
47,Rice Crat,Male,0,0,1,0,1,1,1,0
48,Hyacinth Theobold,Female,1,1,0,1,0,0,0,3
49,Garrick Tenniswood,Male,0,1,1,0,1,1,0,6
50,Trace Mortlock,Male,0,1,1,0,1,1,0,6
51,Linc Hiley,Male,0,1,1,0,1,0,1,4
52,Kanya Wisbey,Female,0,1,0,1,0,0,1,3
53,Geoffrey Simmgen,Male,0,0,1,0,1,1,0,0
54,Mace Ricco,Male,0,0,0,1,0,1,1,2
55,Lucia Farris,Female,0,1,1,0,1,1,1,6
56,Bastien Seabon,Male,1,0,0,1,0,1,0,1
57,Kristofer Gabey,Male,0,1,1,0,1,0,1,4
58,Yance Richarz,Male,0,1,0,1,0,0,1,3
59,Cullin Steuart,Male,0,1,1,0,1,1,1,4
60,Leoine McQuarter,Female,0,0,1,0,1,1,0,0
61,Rani Cuphus,Female,0,0,1,0,1,1,0,0
62,Irvin Babidge,Male,0,1,1,1,1,1,0,6
63,Rosemarie MacGiany,Female,1,1,1,0,1,1,0,6
64,Carlynn Walczak,Female,0,0,1,1,0,1,1,2
65,Ambrosius Birds,Male,0,1,1,0,1,1,0,6
66,Abigael Celez,Female,1,0,1,1,0,1,0,1
67,Huey Liver,Male,1,0,0,1,0,1,0,1
68,Ettore Broune,Male,0,0,1,0,1,1,0,5
69,Cissiee Savile,Female,0,1,1,0,1,0,1,4
70,Calla Alyokhin,Female,1,0,1,0,1,1,0,0
